t_s,seq,time_ms,phase,step_idx,running,estop,sensor_online,aan_on,torque_mode,link_age_ms,ctrl_loop_us,cross_check,hb_error,cps,amp_r,amp_l,assist_r,aan_factor,aan_driving,HR_ref_deg,HR_deg,HR_vel,HR_iq_a,HR_cmd_nm,HR_grav_nm,HR_ff_nm,HR_meas_nm,HR_effort,HR_patient_nm,HR_patient_status,KR_ref_deg,KR_deg,KR_vel,KR_iq_a,KR_cmd_nm,KR_grav_nm,KR_ff_nm,KR_meas_nm,KR_effort,KR_patient_nm,KR_patient_status,HL_ref_deg,HL_deg,HL_vel,HL_iq_a,HL_cmd_nm,HL_grav_nm,HL_ff_nm,HL_meas_nm,HL_effort,HL_patient_nm,HL_patient_status,KL_ref_deg,KL_deg,KL_vel,KL_iq_a,KL_cmd_nm,KL_grav_nm,KL_ff_nm,KL_meas_nm,KL_effort,KL_patient_nm,KL_patient_status
0.0009,63237,1319450,GAIT,2,1,0,0,0,1,9999,18,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,20.207629,8.937501,-0.590637,0.000000,0.000000,0.000000,0.000000,-4.723208,-3.569801,ok,-0.000000,8.525468,-1.437500,-0.216750,0.000000,0.000000,0.000000,0.000000,-1.733310,0.000000,no_baseline,0.000000,-5.708816,-2.375000,-0.233994,0.000000,0.000000,0.000000,0.000000,-1.871204,3.992479,ok,0.000000,0.119178,0.000000,-0.070039,0.000000,0.000000,0.000000,0.000000,-0.560091,0.000000,no_baseline
0.0258,63238,1319470,GAIT,3,1,0,0,0,1,9999,23,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,19.482313,10.218751,-0.079158,0.000000,0.000000,0.000000,0.000000,-0.633008,-3.569801,ok,-0.000000,8.637382,-1.406250,-0.036793,0.000000,0.000000,0.000000,0.000000,-0.294223,0.000000,no_baseline,0.000000,-5.876629,-2.156250,-0.266437,0.000000,0.000000,0.000000,0.000000,-2.130642,3.992479,ok,0.000000,0.119178,0.000000,-0.444545,0.000000,0.000000,0.000000,0.000000,-3.554936,0.000000,no_baseline
0.0262,63238,1319470,GAIT,3,1,0,0,0,1,9999,23,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,19.482313,10.218751,-0.079158,0.000000,0.000000,0.000000,0.000000,-0.633008,-3.569801,ok,-0.000000,8.637382,-1.406250,-0.036793,0.000000,0.000000,0.000000,0.000000,-0.294223,0.000000,no_baseline,0.000000,-5.876629,-2.156250,-0.266437,0.000000,0.000000,0.000000,0.000000,-2.130642,3.992479,ok,0.000000,0.119178,0.000000,-0.444545,0.000000,0.000000,0.000000,0.000000,-3.554936,0.000000,no_baseline
0.0309,63238,1319470,GAIT,3,1,0,0,0,1,9999,23,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,19.482313,10.218751,-0.079158,0.000000,0.000000,0.000000,0.000000,-0.633008,-3.569801,ok,-0.000000,8.637382,-1.406250,-0.036793,0.000000,0.000000,0.000000,0.000000,-0.294223,0.000000,no_baseline,0.000000,-5.876629,-2.156250,-0.266437,0.000000,0.000000,0.000000,0.000000,-2.130642,3.992479,ok,0.000000,0.119178,0.000000,-0.444545,0.000000,0.000000,0.000000,0.000000,-3.554936,0.000000,no_baseline
0.0410,63238,1319470,GAIT,3,1,0,0,0,1,9999,23,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,19.482313,10.218751,-0.079158,0.000000,0.000000,0.000000,0.000000,-0.633008,-3.569801,ok,-0.000000,8.637382,-1.406250,-0.036793,0.000000,0.000000,0.000000,0.000000,-0.294223,0.000000,no_baseline,0.000000,-5.876629,-2.156250,-0.266437,0.000000,0.000000,0.000000,0.000000,-2.130642,3.992479,ok,0.000000,0.119178,0.000000,-0.444545,0.000000,0.000000,0.000000,0.000000,-3.554936,0.000000,no_baseline
0.0510,63239,1319490,GAIT,3,1,0,0,0,1,9999,24,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,18.690330,10.281251,0.067301,0.000000,0.000000,0.000000,0.000000,0.538196,-3.569801,ok,-0.000000,8.730121,-1.093750,0.248125,0.000000,0.000000,0.000000,0.000000,1.984204,0.000000,no_baseline,0.000000,-6.030525,-1.968750,-0.334942,0.000000,0.000000,0.000000,0.000000,-2.678464,3.992479,ok,0.000000,0.120833,0.000000,-0.568209,0.000000,0.000000,0.000000,0.000000,-4.543856,0.000000,no_baseline
0.0602,63240,1319510,GAIT,3,1,0,0,0,1,9999,19,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,17.861785,11.562501,-0.025930,0.000000,0.000000,0.000000,0.000000,-0.207353,-3.569801,ok,-0.000000,8.774550,-0.250000,0.478881,0.000000,0.000000,0.000000,0.000000,3.829515,0.000000,no_baseline,0.000000,-6.167209,-1.718750,-0.181086,0.000000,0.000000,0.000000,0.000000,-1.448108,3.992479,ok,0.000000,0.125433,0.218750,-0.231580,0.000000,0.000000,0.000000,0.000000,-1.851899,0.000000,no_baseline
0.0701,63240,1319510,GAIT,3,1,0,0,0,1,9999,19,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,17.861785,11.562501,-0.025930,0.000000,0.000000,0.000000,0.000000,-0.207353,-3.569801,ok,-0.000000,8.774550,-0.250000,0.478881,0.000000,0.000000,0.000000,0.000000,3.829515,0.000000,no_baseline,0.000000,-6.167209,-1.718750,-0.181086,0.000000,0.000000,0.000000,0.000000,-1.448108,3.992479,ok,0.000000,0.125433,0.218750,-0.231580,0.000000,0.000000,0.000000,0.000000,-1.851899,0.000000,no_baseline
0.0824,63240,1319510,GAIT,3,1,0,0,0,1,9999,19,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,17.861785,11.562501,-0.025930,0.000000,0.000000,0.000000,0.000000,-0.207353,-3.569801,ok,-0.000000,8.774550,-0.250000,0.478881,0.000000,0.000000,0.000000,0.000000,3.829515,0.000000,no_baseline,0.000000,-6.167209,-1.718750,-0.181086,0.000000,0.000000,0.000000,0.000000,-1.448108,3.992479,ok,0.000000,0.125433,0.218750,-0.231580,0.000000,0.000000,0.000000,0.000000,-1.851899,0.000000,no_baseline
0.0947,63240,1319510,GAIT,3,1,0,0,0,1,9999,19,0,0,0.3600,1.0000,1.0000,1.0000,1.0000,2,-0.000000,17.861785,11.562501,-0.025930,0.000000,0.000000,0.000000,0.000000,-0.207353,-3.569801,ok,-0.000000,8.774550,-0.250000,0.478881,0.000000,0.000000,0.000000,0.000000,3.829515,0.000000,no_baseline,0.000000,-6.167209,-1.718750,-0.181086,0.000000,0.000000,0.000000,0.000000,-1.448108,3.992479,ok,0.000000,0.125433,0.218750,-0.231580,0.000000,0.000000,0.000000,0.000000,-1.851899,0.000000,no_baseline
